state,which,ic_index,rms_value,y0[0],y0[1],y0[2],y0[3],y0[4],y0[5],y0[6]
$\delta$,residual_best,107,0.036471087485551834,0.09899980574846268,0.5589743852615356,0.0,1.0004762411117554,0.699999988079071,1.0134378671646118,0.0
$\delta$,residual_worst,132,0.04283282905817032,-0.09945409744977951,-0.45539575815200806,0.0,1.0005452632904053,0.699999988079071,1.0098912715911865,0.0
$\delta$,error_best,187,0.002733878791332245,-0.03694470226764679,-0.4543415307998657,0.0,1.0080050230026245,0.699999988079071,0.9991413354873657,0.0
$\delta$,error_worst,189,0.12838467955589294,0.09815972298383713,-0.44003915786743164,0.0,1.0062161684036255,0.699999988079071,1.0026792287826538,0.0
$\omega$,residual_best,198,0.06410820782184601,0.020258605480194092,0.13749688863754272,0.0,1.005995750427246,0.699999988079071,0.9944663643836975,0.0
$\omega$,residual_worst,169,3.8935375213623047,-0.09446338564157486,-0.5920621752738953,0.0,1.001667857170105,0.699999988079071,1.0191459655761719,0.0
$\omega$,error_best,37,0.011018323712050915,0.05991280823945999,0.05306589603424072,0.0,0.9965163469314575,0.699999988079071,1.0004081726074219,0.0
$\omega$,error_worst,47,0.5289420485496521,-0.08884438127279282,0.5643966197967529,0.0,1.005059838294983,0.699999988079071,0.998767614364624,0.0
$E'_d$,residual_best,173,0.20647989213466644,-0.09652179479598999,0.28771692514419556,0.0,0.999503493309021,0.699999988079071,0.9805063605308533,0.0
$E'_d$,residual_worst,129,0.21653684973716736,0.06712741404771805,-0.4855523705482483,0.0,1.0071097612380981,0.699999988079071,1.0185747146606445,0.0
$E'_d$,error_best,107,0.02711348794400692,0.09899980574846268,0.5589743852615356,0.0,1.0004762411117554,0.699999988079071,1.0134378671646118,0.0
$E'_d$,error_worst,169,0.09436621516942978,-0.09446338564157486,-0.5920621752738953,0.0,1.001667857170105,0.699999988079071,1.0191459655761719,0.0
$E'_q$,residual_best,107,0.12892432510852814,0.09899980574846268,0.5589743852615356,0.0,1.0004762411117554,0.699999988079071,1.0134378671646118,0.0
$E'_q$,residual_worst,169,0.3430420458316803,-0.09446338564157486,-0.5920621752738953,0.0,1.001667857170105,0.699999988079071,1.0191459655761719,0.0
$E'_q$,error_best,133,0.8274418711662292,-0.08853577822446823,0.3906300663948059,0.0,0.9910378456115723,0.699999988079071,1.014743447303772,0.0
$E'_q$,error_worst,182,0.8535744547843933,0.061904020607471466,-0.5480469465255737,0.0,1.0095428228378296,0.699999988079071,0.995019257068634,0.0
