metric,state,value
RMSE_residual,delta,0.05999891459941864
RMSE_error,delta,0.006247083656489849
RMSE_residual,omega,0.4951047897338867
RMSE_error,omega,0.00788844097405672
RMSE_residual,E_d_dash,0.042916424572467804
RMSE_error,E_d_dash,0.004058437887579203
RMSE_residual,E_q_dash,0.05605534464120865
RMSE_error,E_q_dash,0.0036502943839877844
RMSE_residual,E_d_dd,0.1848740577697754
RMSE_error,E_d_dd,0.006660629529505968
RMSE_residual,E_q_dd,0.06955092400312424
RMSE_error,E_q_dd,0.0040312414057552814
