traj_index,state,rmse_oneshot,rmse_iterative
0,$\delta$,0.06545663625001907,0.07003946602344513
0,$\omega$,0.5073738694190979,0.509657084941864
0,$E'_d$,0.026972239837050438,0.010392085649073124
0,$E'_q$,0.8333644270896912,0.8490198850631714
1,$\delta$,0.10237976908683777,0.042173221707344055
1,$\omega$,0.2268838882446289,0.22175948321819305
1,$E'_d$,0.07793878763914108,0.0118692172691226
1,$E'_q$,0.8369309306144714,0.8452416062355042
2,$\delta$,0.06298260390758514,0.05422018840909004
2,$\omega$,0.27597948908805847,0.27681177854537964
2,$E'_d$,0.025487666949629784,0.011134861037135124
2,$E'_q$,0.8324419856071472,0.8430197238922119
3,$\delta$,0.026962580159306526,0.01201952900737524
3,$\omega$,0.11183210462331772,0.11622001230716705
3,$E'_d$,0.05791804566979408,0.01114191859960556
3,$E'_q$,0.8331219553947449,0.8449618816375732
4,$\delta$,0.018685786053538322,0.0502137690782547
4,$\omega$,0.24465295672416687,0.24162770807743073
4,$E'_d$,0.09002219140529633,0.011877758428454399
4,$E'_q$,0.8469387292861938,0.8581510782241821
